CHEMBL118629,CC(=O)/C=C/C=C/COC1=CC2=C(C=C1)C=CC(=O)O2
CHEMBL118703,C1COCCN1C(=O)/C=C/C2=CC3=C(C=C2)OCO3
CHEMBL118875,CC1=C(C(=O)OC2=C1C=CC(=C2)OC/C=C/C3=CC(=O)C(O3)(C)C)C
CHEMBL119017,CC1=C(C(=O)OC2=C1C=CC(=C2)OC/C=C(\C)/C3=CC(=O)C(O3)(C)C)C
CHEMBL1191,CC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)N
CHEMBL1193327,C[C@@H]1C2=CC(=C(C=C2CCN1)O)O
CHEMBL119385,C1=CC(=C(C(=C1)Cl)C2=C3C=CC(=NN3C=NC2=O)SC4=C(C=C(C=C4)F)F)Cl
CHEMBL1194,CCCNC(C)C(=O)NC1=CC=CC=C1C
CHEMBL119443,C[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C
CHEMBL1196,CCCOC1=C(C=C(C=C1)C(=O)OCCN(CC)CC)N
CHEMBL1196025,CN1CCC2=CC(=C(C=C2C1)OC)OC
CHEMBL1198,CCCCOC1=CC=C(C=C1)OCCCN2CCOCC2
CHEMBL1198953,C[N+]1=CC2=C(C=C1)C3=CC=CC=C3N2CCCCCCCCCN4C5=CC=CC=C5C6=C4C=[N+](C=C6)C
CHEMBL12,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
CHEMBL1200391,C(C(CO)(CO)N)O
CHEMBL1200396,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C.Cl
CHEMBL1200406,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)Cl.CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2
CHEMBL1200431,
CHEMBL1200528,
CHEMBL1200545,C[C@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COC(=O)C)OC(=O)C)C)O)F)C)F
CHEMBL1200558,CC[C@H](C)[C@H]1C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)NCCCC[C@@H](C(=O)N[C@@H](C(=O)N1)CCCN)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CSC(=N2)[C@H]([C@@H](C)CC)N)CC(=O)N)CC(=O)O)CC3=CN=CN3)CC4=CC=CC=C4
CHEMBL1200559,CC(C(=O)O)O
CHEMBL1200585,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(C/C(=C/O)/C(=O)C4)C
CHEMBL1200600,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@]2([C@@]4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O
CHEMBL1200604,CCN(CC1=CC=NC=C1)C(=O)C(CO)C2=CC=CC=C2
CHEMBL1200623,CC[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CCCC[C@H]34)C)O
CHEMBL1200624,CC(=O)O[C@H]1CC[C@@H]2[C@H]3CC[C@]4([C@H]([C@@H]3CCC2=C1)CC[C@]4(C#C)OC(=O)C)C
CHEMBL1200629,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]([C@]2(C[C@@H]1N4CCCCC4)C)CC[C@]5([C@H]3C[C@@H]([C@@H]5OC(=O)C)[N+]6(CCCCC6)C)C.[Br-]
CHEMBL1200633,CC[C@H](C)[C@@H]1[C@H](CC[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)C.C[C@H]1CC[C@]2(C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)O[C@@H]1C(C)C
CHEMBL1200656,C[C@@H]1C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@@H]3[C@H](O3)/C=C/C(=O)O1)O)O)O)C(=O)O)O[C@H]4[C@H]([C@H]([C@@H]([C@H](O4)C)O)N)O
CHEMBL1200679,[Cl-].[Cl-].[Zn+2]
CHEMBL1200693,
CHEMBL1200709,CCN(C1=CC=CC=C1C)C(=O)/C=C/C
CHEMBL1200748,C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)NN.O
CHEMBL1200845,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@]2([C@H](C[C@]4([C@H]3C[C@@H]5[C@]4(OC(O5)(C)C)C(=O)CCl)C)O)F
CHEMBL1200862,C[C@](CC1=CC=C(C=C1)O)(C(=O)O)N
CHEMBL1200904,C[C@H](CC1=CC=CC=C1)N(C)CC#C.Cl
CHEMBL1200993,CC[N+](CC)(CC)CCOC1=C(C(=CC=C1)OCC[N+](CC)(CC)CC)OCC[N+](CC)(CC)CC.[I-].[I-].[I-]
CHEMBL1201010,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)CC[C@@]43C)F)O)C)O
CHEMBL1201012,C[C@]12CCC(=O)C=C1[C@H](C[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3C[C@@H]5[C@]4(OC(O5)(C)C)C(=O)CO)C)O)F
CHEMBL1201024,C[N+]1([C@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)C.[Br-]
CHEMBL1201117,COC1=CC=CC=C1OCC(COC(=O)N)O
CHEMBL1201139,CC1=C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C
CHEMBL1201142,CS(=O)(=O)O.C#CCN[C@@H]1CCC2=CC=CC=C12
CHEMBL1201146,CC(=O)O[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)C#C
CHEMBL1201151,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)OC
CHEMBL1201193,CCCCN1CCCC[C@H]1C(=O)NC2=C(C=CC=C2C)C
CHEMBL1201195,CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@](C3=O)(NC(=O)CSCC#N)OC)SC2)C(=O)O
CHEMBL1201203,CN1[C@@H]2CC[C@H]1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4
